MATCH,District,City,Ward,Precinct,SS08_SChangDiaz,SS08DWilkerson
Boston Ward 3 Precinct 7,3-7,Boston,3,7,359,144
Boston Ward 3 Precinct 8,3-8,Boston,3,8,208,286
Boston Ward 4 Precinct 1,4-1,Boston,4,1,295,96
Boston Ward 4 Precinct 2,4-2,Boston,4,2,196,128
Boston Ward 4 Precinct 3,4-3,Boston,4,3,165,85
Boston Ward 4 Precinct 4,4-4,Boston,4,4,235,122
Boston Ward 4 Precinct 5,4-5,Boston,4,5,102,75
Boston Ward 4 Precinct 6,4-6,Boston,4,6,75,65
Boston Ward 4 Precinct 8,4-8,Boston,4,8,51,79
Boston Ward 4 Precinct 9,4-9,Boston,4,9,11,29
Boston Ward 5 Precinct 1,5-1,Boston,5,1,356,223
Boston Ward 5 Precinct 4,5-4,Boston,5,4,156,58
Boston Ward 5 Precinct 5,5-5,Boston,5,5,94,21
Boston Ward 5 Precinct 6,5-6,Boston,5,6,162,31
Boston Ward 5 Precinct 7,5-7,Boston,5,7,194,40
Boston Ward 5 Precinct 8,5-8,Boston,5,8,197,33
Boston Ward 5 Precinct 11,5-11,Boston,5,11,140,44
Boston Ward 8 Precinct 1,8-1,Boston,8,1,31,62
Boston Ward 8 Precinct 2,8-2,Boston,8,2,117,100
Boston Ward 8 Precinct 3,8-3,Boston,8,3,34,148
Boston Ward 8 Precinct 4,8-4,Boston,8,4,6,73
Boston Ward 8 Precinct 5,8-5,Boston,8,5,19,167
Boston Ward 8 Precinct 6,8-6,Boston,8,6,11,51
Boston Ward 8 Precinct 7,8-7,Boston,8,7,52,85
Boston Ward 9 Precinct 1,9-1,Boston,9,1,121,87
Boston Ward 9 Precinct 2,9-2,Boston,9,2,162,132
Boston Ward 9 Precinct 3,9-3,Boston,9,3,132,274
Boston Ward 9 Precinct 4,9-4,Boston,9,4,52,187
Boston Ward 9 Precinct 5,9-5,Boston,9,5,103,315
Boston Ward 10 Precinct 1,10-1,Boston,10,1,74,53
Boston Ward 10 Precinct 2,10-2,Boston,10,2,74,68
Boston Ward 10 Precinct 3,10-3,Boston,10,3,84,44
Boston Ward 10 Precinct 4,10-4,Boston,10,4,139,193
Boston Ward 10 Precinct 5,10-5,Boston,10,5,115,61
Boston Ward 10 Precinct 6,10-6,Boston,10,6,79,82
Boston Ward 10 Precinct 7,10-7,Boston,10,7,70,158
Boston Ward 10 Precinct 8,10-8,Boston,10,8,129,109
Boston Ward 10 Precinct 9,10-9,Boston,10,9,202,84
Boston Ward 11 Precinct 1,11-1,Boston,11,1,59,127
Boston Ward 11 Precinct 2,11-2,Boston,11,2,59,219
Boston Ward 11 Precinct 3,11-3,Boston,11,3,29,172
Boston Ward 11 Precinct 4,11-4,Boston,11,4,134,154
Boston Ward 11 Precinct 5,11-5,Boston,11,5,147,157
Boston Ward 11 Precinct 6,11-6,Boston,11,6,174,67
Boston Ward 11 Precinct 7,11-7,Boston,11,7,215,120
Boston Ward 11 Precinct 8,11-8,Boston,11,8,214,89
Boston Ward 11 Precinct 9,11-9,Boston,11,9,194,69
Boston Ward 11 Precinct 10,11-10,Boston,11,10,204,82
Boston Ward 12 Precinct 1,12-1,Boston,12,1,66,262
Boston Ward 12 Precinct 2,12-2,Boston,12,2,50,346
Boston Ward 12 Precinct 3,12-3,Boston,12,3,25,153
Boston Ward 12 Precinct 4,12-4,Boston,12,4,32,127
Boston Ward 12 Precinct 5,12-5,Boston,12,5,31,169
Boston Ward 12 Precinct 6,12-6,Boston,12,6,28,139
Boston Ward 12 Precinct 7,12-7,Boston,12,7,54,302
Boston Ward 12 Precinct 8,12-8,Boston,12,8,44,122
Boston City Ward 12 Precinct 9,12-9,Boston,12,9,37,178
Boston City Ward 14 Precinct 3,14-3,Boston,14,3,22,160
Boston City Ward 14 Precinct 6,14-6,Boston,14,6,27,123
Boston City Ward 14 Precinct 7,14-7,Boston,14,7,29,131
Boston City Ward 14 Precinct 8,14-8,Boston,14,8,41,143
Boston City Ward 14 Precinct 9,14-9,Boston,14,9,18,98
Boston City Ward 14 Precinct 10,14-10,Boston,14,10,35,157
Boston City Ward 14 Precinct 11,14-11,Boston,14,11,8,100
Boston City Ward 19 Precinct 1,19-1,Boston,19,1,181,80
Boston City Ward 19 Precinct 2,19-2,Boston,19,2,401,122
Boston City Ward 19 Precinct 3,19-3,Boston,19,3,204,61
Boston City Ward 19 Precinct 4,19-4,Boston,19,4,269,95
Boston City Ward 19 Precinct 5,19-5,Boston,19,5,262,103
Boston City Ward 19 Precinct 6,19-6,Boston,19,6,338,115
Boston City Ward 19 Precinct 7,19-7,Boston,19,7,229,118
Boston City Ward 19 Precinct 8,19-8,Boston,19,8,235,53
Boston City Ward 19 Precinct 9,19-9,Boston,19,9,174,53