NAME,USH18PTRAHAN,USH18PKOH,USH18PLITALIEN,USH18PMATIAS,USH18PGIFFORD,USH18PCHANDLER,USH18PDAS,USH18PBALLINGER,USH18PMALONE,USH18PGOLDER,USH18PBLANK,Pct,SS18PFINEGOLD,SS18PARMANO,SS18PPAYANO,All Others,SS18PBLANK,Total Votes Cast,SS14PLITALIEN,SS14PPAYANO,SS14PRODRIGUEZ,SS14PBLANK,Ward,Pct,SH17PVARGAS,SH17PTOOHEY,All Others,SH17PBLANK,Total Votes Cast,NAMELSAD20,GEOID20
Acton Town Precinct 1,71.0,109.0,108.0,25.0,114.0,52.0,21.0,6.0,5.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Acton Town Precinct 1,25017000006
Acton Town Precinct 2,113.0,135.0,111.0,37.0,167.0,50.0,21.0,8.0,1.0,3.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Acton Town Precinct 2,25017000007
Acton Town Precinct 3,100.0,109.0,191.0,60.0,158.0,103.0,9.0,14.0,1.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Acton Town Precinct 3,25017000008
Acton Town Precinct 4,93.0,145.0,174.0,32.0,152.0,121.0,13.0,2.0,3.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Acton Town Precinct 4,25017000009
Acton Town Precinct 5,109.0,84.0,112.0,53.0,197.0,92.0,15.0,4.0,8.0,6.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Acton Town Precinct 5,25017000010
Acton Town Precinct 6,98.0,91.0,105.0,28.0,134.0,73.0,12.0,3.0,7.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Acton Town Precinct 6,25017000011
Andover Town Precinct 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,314.0,116.0,75.0,0.0,35.0,540.0,272.0,45.0,32.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Andover Town Precinct 1,25009000045
Andover Town Precinct 2,56.0,335.0,155.0,43.0,33.0,10.0,7.0,7.0,1.0,1.0,9.0,2.0,399.0,134.0,65.0,1.0,58.0,657.0,281.0,40.0,28.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Andover Town Precinct 2,25009000046
Andover Town Precinct 3,68.0,302.0,218.0,36.0,42.0,6.0,12.0,13.0,13.0,3.0,11.0,3.0,431.0,189.0,52.0,2.0,51.0,725.0,306.0,51.0,20.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Andover Town Precinct 3,25009000047
Andover Town Precinct 4,65.0,229.0,167.0,14.0,34.0,13.0,10.0,7.0,2.0,1.0,4.0,4.0,358.0,109.0,38.0,1.0,41.0,547.0,239.0,46.0,31.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Andover Town Precinct 4,25009000048
Andover Town Precinct 5,71.0,237.0,194.0,16.0,25.0,10.0,18.0,9.0,2.0,0.0,5.0,5.0,395.0,114.0,47.0,1.0,35.0,592.0,234.0,38.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Andover Town Precinct 5,25009000049
Andover Town Precinct 6,73.0,250.0,125.0,19.0,33.0,8.0,11.0,15.0,0.0,0.0,9.0,6.0,358.0,105.0,40.0,1.0,39.0,543.0,226.0,37.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Andover Town Precinct 6,25009000050
Andover Town Precinct 7,51.0,243.0,130.0,15.0,15.0,6.0,6.0,11.0,2.0,0.0,5.0,0.0,374.0,93.0,56.0,1.0,40.0,564.0,251.0,44.0,37.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Andover Town Precinct 7,25009000051
Andover Town Precinct 8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,324.0,88.0,36.0,2.0,23.0,473.0,287.0,56.0,36.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Andover Town Precinct 8,25009000052
Andover Town Precinct 9,74.0,254.0,158.0,16.0,24.0,11.0,10.0,7.0,0.0,1.0,7.0,9.0,344.0,99.0,54.0,0.0,65.0,562.0,278.0,48.0,27.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Andover Town Precinct 9,25009000053
Ashburnham Town Precinct 1,84.0,170.0,78.0,22.0,157.0,23.0,6.0,13.0,4.0,7.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ashburnham Town Precinct 1,25027000076
Ashby Town Precinct 1,46.0,60.0,56.0,44.0,61.0,27.0,2.0,7.0,3.0,4.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ashby Town Precinct 1,25017000077
Ayer Town Precinct 1,108.0,81.0,86.0,29.0,51.0,40.0,7.0,8.0,10.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ayer Town Precinct 1,25017000105
Ayer Town Precinct 2,111.0,80.0,58.0,24.0,52.0,25.0,7.0,8.0,9.0,2.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ayer Town Precinct 2,25017000106
Berlin Town Precinct 1,70.0,75.0,75.0,35.0,119.0,35.0,0.0,5.0,1.0,7.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Berlin Town Precinct 1,25027000146
Bolton Town Precinct 1,125.0,213.0,165.0,34.0,81.0,74.0,5.0,3.0,1.0,19.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bolton Town Precinct 1,25027000175
Boxborough Town Precinct 1,126.0,172.0,163.0,54.0,144.0,116.0,11.0,8.0,2.0,10.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Boxborough Town Precinct 1,25017000437
Carlisle Town Precinct 1,200.0,222.0,196.0,58.0,319.0,73.0,18.0,7.0,24.0,3.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Carlisle Town Precinct 1,25017000557
Chelmsford Town Precinct 1,238.0,81.0,69.0,21.0,102.0,17.0,11.0,1.0,5.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chelmsford Town Precinct 1,25017000567
Chelmsford Town Precinct 2,162.0,84.0,55.0,13.0,44.0,21.0,13.0,4.0,9.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chelmsford Town Precinct 2,25017000568
Chelmsford Town Precinct 3,226.0,92.0,74.0,23.0,62.0,28.0,10.0,9.0,19.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chelmsford Town Precinct 3,25017000569
Chelmsford Town Precinct 4,187.0,80.0,35.0,15.0,74.0,19.0,7.0,6.0,5.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chelmsford Town Precinct 4,25017000570
Chelmsford Town Precinct 5,160.0,79.0,66.0,22.0,82.0,23.0,5.0,4.0,7.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chelmsford Town Precinct 5,25017000571
Chelmsford Town Precinct 6,235.0,124.0,49.0,17.0,97.0,14.0,10.0,6.0,9.0,3.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chelmsford Town Precinct 6,25017000572
Chelmsford Town Precinct 7,272.0,98.0,64.0,24.0,111.0,14.0,10.0,5.0,6.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chelmsford Town Precinct 7,25017000573
Chelmsford Town Precinct 8,245.0,120.0,64.0,22.0,77.0,25.0,16.0,6.0,10.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chelmsford Town Precinct 8,25017000574
Chelmsford Town Precinct 9,222.0,110.0,89.0,15.0,82.0,29.0,10.0,2.0,3.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chelmsford Town Precinct 9,25017000575
Clinton Town Precinct 1,62.0,103.0,85.0,19.0,64.0,9.0,9.0,5.0,0.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Clinton Town Precinct 1,25027000615
Clinton Town Precinct 2,25.0,115.0,76.0,38.0,43.0,14.0,1.0,3.0,1.0,7.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Clinton Town Precinct 2,25027000616
Clinton Town Precinct 3,40.0,113.0,68.0,14.0,38.0,21.0,4.0,7.0,2.0,3.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Clinton Town Precinct 3,25027000617
Clinton Town Precinct 4,39.0,94.0,59.0,27.0,29.0,12.0,2.0,4.0,1.0,7.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Clinton Town Precinct 4,25027000618
Concord Town Precinct 1,121.0,148.0,193.0,94.0,298.0,37.0,5.0,3.0,4.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Concord Town Precinct 1,25017000622
Concord Town Precinct 2,178.0,160.0,239.0,124.0,289.0,65.0,6.0,5.0,18.0,2.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Concord Town Precinct 2,25017000623
Concord Town Precinct 3,168.0,169.0,195.0,78.0,353.0,43.0,3.0,4.0,3.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Concord Town Precinct 3,25017000624
Concord Town Precinct 4,159.0,139.0,243.0,95.0,368.0,42.0,4.0,4.0,12.0,4.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Concord Town Precinct 4,25017000625
Concord Town Precinct 5,88.0,81.0,128.0,36.0,255.0,33.0,2.0,1.0,2.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Concord Town Precinct 5,25017000626
Dracut Town Precinct 1,172.0,63.0,63.0,6.0,16.0,15.0,10.0,12.0,7.0,1.0,14.0,1.0,152.0,160.0,27.0,1.0,39.0,379.0,99.0,16.0,24.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Dracut Town Precinct 1,25017000667
Dracut Town Precinct 2,139.0,46.0,90.0,10.0,24.0,11.0,26.0,7.0,3.0,2.0,14.0,2.0,132.0,187.0,21.0,0.0,34.0,374.0,137.0,17.0,30.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Dracut Town Precinct 2,25017000668
Dracut Town Precinct 3,160.0,101.0,106.0,7.0,26.0,17.0,21.0,8.0,12.0,3.0,31.0,3.0,186.0,245.0,14.0,1.0,46.0,492.0,195.0,25.0,24.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Dracut Town Precinct 3,25017000669
Dracut Town Precinct 4,190.0,92.0,139.0,15.0,29.0,11.0,18.0,8.0,5.0,1.0,37.0,4.0,185.0,284.0,22.0,0.0,54.0,545.0,158.0,22.0,27.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Dracut Town Precinct 4,25017000670
Dracut Town Precinct 5,168.0,58.0,94.0,13.0,54.0,9.0,21.0,6.0,3.0,4.0,19.0,5.0,176.0,228.0,22.0,3.0,23.0,452.0,153.0,22.0,31.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Dracut Town Precinct 5,25017000671
Dracut Town Precinct 6,168.0,86.0,108.0,9.0,34.0,8.0,27.0,12.0,9.0,4.0,40.0,0.0,196.0,201.0,33.0,1.0,76.0,507.0,189.0,22.0,39.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Dracut Town Precinct 6,25017000672
Dracut Town Precinct 7,140.0,75.0,71.0,9.0,34.0,13.0,20.0,5.0,9.0,1.0,37.0,7.0,124.0,217.0,20.0,2.0,52.0,415.0,138.0,20.0,19.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Dracut Town Precinct 7,25017000673
Dracut Town Precinct 8,263.0,112.0,182.0,18.0,34.0,13.0,27.0,17.0,7.0,5.0,33.0,8.0,259.0,388.0,24.0,1.0,40.0,712.0,210.0,33.0,27.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Dracut Town Precinct 8,25017000674
Dracut Town Precinct 9,200.0,73.0,125.0,14.0,30.0,19.0,22.0,11.0,2.0,1.0,29.0,9.0,186.0,265.0,22.0,0.0,55.0,528.0,169.0,21.0,34.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Dracut Town Precinct 9,25017000675
Dunstable Town Precinct 1,182.0,64.0,55.0,17.0,68.0,17.0,4.0,3.0,10.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Dunstable Town Precinct 1,25017000679
Fitchburg City Ward 1 Precinct A,18.0,36.0,8.0,18.0,27.0,5.0,1.0,4.0,3.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fitchburg City Ward 1 Precinct A,25027000765
Fitchburg City Ward 1 Precinct B,19.0,61.0,31.0,25.0,74.0,6.0,3.0,2.0,1.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fitchburg City Ward 1 Precinct B,25027000766
Fitchburg City Ward 2 Precinct A,14.0,42.0,19.0,24.0,43.0,8.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fitchburg City Ward 2 Precinct A,25027000767
Fitchburg City Ward 2 Precinct B,30.0,79.0,46.0,12.0,65.0,7.0,2.0,8.0,3.0,2.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fitchburg City Ward 2 Precinct B,25027000768
Fitchburg City Ward 3 Precinct A,54.0,114.0,39.0,14.0,128.0,2.0,0.0,6.0,2.0,3.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fitchburg City Ward 3 Precinct A,25027000769
Fitchburg City Ward 3 Precinct B,30.0,106.0,26.0,19.0,65.0,3.0,4.0,4.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fitchburg City Ward 3 Precinct B,25027000770
Fitchburg City Ward 4 Precinct A,22.0,34.0,18.0,9.0,39.0,12.0,2.0,8.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fitchburg City Ward 4 Precinct A,25027000771
Fitchburg City Ward 4 Precinct B,23.0,37.0,26.0,10.0,60.0,10.0,1.0,4.0,1.0,2.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fitchburg City Ward 4 Precinct B,25027000772
Fitchburg City Ward 5 Precinct A,45.0,89.0,56.0,16.0,108.0,8.0,4.0,10.0,1.0,4.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fitchburg City Ward 5 Precinct A,25027000773
Fitchburg City Ward 5 Precinct B,5.0,22.0,14.0,9.0,63.0,3.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fitchburg City Ward 5 Precinct B,25027000774
Fitchburg City Ward 6 Precinct A,42.0,78.0,41.0,32.0,82.0,5.0,1.0,3.0,1.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fitchburg City Ward 6 Precinct A,25027000775
Fitchburg City Ward 6 Precinct B,23.0,57.0,17.0,31.0,50.0,6.0,3.0,6.0,3.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fitchburg City Ward 6 Precinct B,25027000776
Gardner City Ward 1 Precinct A,28.0,116.0,36.0,5.0,50.0,7.0,0.0,4.0,5.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Gardner City Ward 1 Precinct A,25027000812
Gardner City Ward 1 Precinct B,21.0,17.0,7.0,1.0,13.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Gardner City Ward 1 Precinct B,25027000813
Gardner City Ward 2 Precinct A,14.0,70.0,19.0,5.0,38.0,2.0,0.0,0.0,2.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Gardner City Ward 2 Precinct A,25027000814
Gardner City Ward 2 Precinct B,21.0,52.0,28.0,1.0,40.0,5.0,0.0,5.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Gardner City Ward 2 Precinct B,25027000815
Gardner City Ward 3 Precinct A,17.0,53.0,28.0,4.0,25.0,3.0,3.0,4.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Gardner City Ward 3 Precinct A,25027000816
Gardner City Ward 3 Precinct B,33.0,65.0,29.0,10.0,42.0,6.0,0.0,9.0,1.0,4.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Gardner City Ward 3 Precinct B,25027000817
Gardner City Ward 4 Precinct A,25.0,71.0,18.0,9.0,18.0,10.0,2.0,8.0,1.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Gardner City Ward 4 Precinct A,25027000818
Gardner City Ward 4 Precinct B,13.0,27.0,10.0,10.0,17.0,2.0,1.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Gardner City Ward 4 Precinct B,25027000819
Gardner City Ward 5 Precinct A,29.0,56.0,23.0,6.0,23.0,2.0,1.0,4.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Gardner City Ward 5 Precinct A,25027000820
Gardner City Ward 5 Precinct B,28.0,82.0,27.0,8.0,35.0,5.0,1.0,4.0,1.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Gardner City Ward 5 Precinct B,25027000821
Groton Town Precinct 1,155.0,184.0,65.0,23.0,89.0,46.0,9.0,5.0,7.0,3.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Groton Town Precinct 1,25017000859
Groton Town Precinct 2,136.0,101.0,69.0,24.0,62.0,41.0,7.0,8.0,14.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Groton Town Precinct 2,25017000860
Groton Town Precinct 3,157.0,146.0,59.0,22.0,98.0,50.0,4.0,7.0,9.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Groton Town Precinct 3,25017000861
